TransitionTypeID,TransitionGroupID,IsAuto
Ag Contraction: Oak/Gum/Cypress Group,Ag Contraction: Pasture,
Ag Contraction: Oak/Hickory Group,Ag Contraction,
Ag Contraction: Oak/Hickory Group,Ag Contraction: Cropland,
Ag Contraction: Oak/Hickory Group,Ag Contraction: Pasture,
Ag Contraction: Oak/Pine Group,Ag Contraction,
Ag Contraction: Oak/Pine Group,Ag Contraction: Cropland,
Ag Contraction: Oak/Pine Group,Ag Contraction: Pasture,
Ag Contraction: Other Western Hardwoods Group,Ag Contraction,
Ag Contraction: Other Western Hardwoods Group,Ag Contraction: Cropland,
Ag Contraction: Other Western Hardwoods Group,Ag Contraction: Pasture,
Ag Contraction: Other Western Softwood Group,Ag Contraction,
Ag Contraction: Other Western Softwood Group,Ag Contraction: Cropland,
Ag Contraction: Other Western Softwood Group,Ag Contraction: Pasture,
Ag Contraction: Pinyon/Juniper Group,Ag Contraction,
Ag Contraction: Pinyon/Juniper Group,Ag Contraction: Cropland,
Ag Contraction: Pinyon/Juniper Group,Ag Contraction: Pasture,
Ag Contraction: Ponderosa Pine Group,Ag Contraction,
Ag Contraction: Ponderosa Pine Group,Ag Contraction: Cropland,
Ag Contraction: Ponderosa Pine Group,Ag Contraction: Pasture,
Ag Contraction: Redwood Group,Ag Contraction,
Ag Contraction: Redwood Group,Ag Contraction: Cropland,
Ag Contraction: Redwood Group,Ag Contraction: Pasture,
Ag Contraction: Shrubland,Ag Contraction,
Ag Contraction: Shrubland,Ag Contraction: Cropland,
Ag Contraction: Shrubland,Ag Contraction: Pasture,
Ag Contraction: Spruce/Fir Group,Ag Contraction,
Ag Contraction: Spruce/Fir Group,Ag Contraction: Cropland,
Ag Contraction: Spruce/Fir Group,Ag Contraction: Pasture,
Ag Contraction: Tanoak/Laurel Group,Ag Contraction,
Ag Contraction: Tanoak/Laurel Group,Ag Contraction: Cropland,
Ag Contraction: Tanoak/Laurel Group,Ag Contraction: Pasture,
Ag Contraction: Tropical Hardwoods Group,Ag Contraction,
Ag Contraction: Tropical Hardwoods Group,Ag Contraction: Cropland,
Ag Contraction: Tropical Hardwoods Group,Ag Contraction: Pasture,
Ag Contraction: Western Larch Group,Ag Contraction,
Ag Contraction: Western Larch Group,Ag Contraction: Cropland,
Ag Contraction: Western Larch Group,Ag Contraction: Pasture,
Ag Contraction: Western Oak Group,Ag Contraction,
Ag Contraction: Western Oak Group,Ag Contraction: Cropland,
Ag Contraction: Western Oak Group,Ag Contraction: Pasture,
Ag Contraction: Western White Pine Group,Ag Contraction,
Ag Contraction: Western White Pine Group,Ag Contraction: Cropland,
Ag Contraction: Western White Pine Group,Ag Contraction: Pasture,
Ag Contraction: Wetland Herbaceous,Ag Contraction,
Ag Contraction: Wetland Herbaceous,Ag Contraction: Cropland,
Ag Contraction: Wetland Herbaceous,Ag Contraction: Pasture,
Ag Contraction: Wetland Woody,Ag Contraction,
Ag Contraction: Wetland Woody,Ag Contraction: Cropland,
Ag Contraction: Wetland Woody,Ag Contraction: Pasture,
Ag Contraction: White/Red/Jack Pine Group,Ag Contraction,
Ag Contraction: White/Red/Jack Pine Group,Ag Contraction: Cropland,
Ag Contraction: White/Red/Jack Pine Group,Ag Contraction: Pasture,
Ag Expansion: Cropland,Ag Expansion,
Ag Expansion: Pasture,Ag Expansion,
Fire: High Severity,Fire,
Fire: Low Severity,Fire,
Fire: Medium Severity,Fire,
Forest Harvest: Forest Clearcut,Forest Harvest,
Forest Harvest: Forest Selection,Forest Harvest,
Forest Harvest: Forest Selection 20%,Forest Harvest,
Forest Harvest: Forest Selection 85%,Forest Harvest,
Forest Harvest: Salvage Logging,Forest Harvest,
Insect: High Severity,Insect,
Insect: Low Severity,Insect,
Insect: Medium Severity,Insect,
Intensification: Low to High,Intensification,
Intensification: Low to Medium,Intensification,
Intensification: Medium to High,Intensification,
Intensification: Open to High,Intensification,
Intensification: Open to Low,Intensification,
Intensification: Open to Medium,Intensification,
Succession Post Fire: Alder/Maple Group,Succession: Post Fire Recovery,
Succession Post Fire: Aspen/Birch Group,Succession: Post Fire Recovery,
Succession Post Fire: California Mixed Conifer Group,Succession: Post Fire Recovery,
Succession Post Fire: Douglas-fir Coastal Group,Succession: Post Fire Recovery,
Succession Post Fire: Douglas-fir Inland Group,Succession: Post Fire Recovery,
Succession Post Fire: Elm/Ash/Cottonwood Group,Succession: Post Fire Recovery,
Succession Post Fire: Exotic Hardwoods Group,Succession: Post Fire Recovery,
Succession Post Fire: Exotic Softwoods Group,Succession: Post Fire Recovery,
Succession Post Fire: Fir/Spruce/Mountain Hemlock Group,Succession: Post Fire Recovery,
Succession Post Fire: Hemlock/Sitka Spruce Group,Succession: Post Fire Recovery,
Succession Post Fire: Loblolly/Shortleaf Pine Group,Succession: Post Fire Recovery,
Succession Post Fire: Lodgepole Pine Group,Succession: Post Fire Recovery,
Succession Post Fire: Longleaf/Slash Pine Group,Succession: Post Fire Recovery,
Succession Post Fire: Maple/Beech/Birch Group,Succession: Post Fire Recovery,
Succession Post Fire: Oak/Gum/Cypress Group,Succession: Post Fire Recovery,
Succession Post Fire: Oak/Hickory Group,Succession: Post Fire Recovery,
Succession Post Fire: Oak/Pine Group,Succession: Post Fire Recovery,
Succession Post Fire: Other Western Hardwoods Group,Succession: Post Fire Recovery,
Succession Post Fire: Other Western Softwood Group,Succession: Post Fire Recovery,
Succession Post Fire: Pinyon/Juniper Group,Succession: Post Fire Recovery,
Succession Post Fire: Ponderosa Pine Group,Succession: Post Fire Recovery,
Succession Post Fire: Redwood Group,Succession: Post Fire Recovery,
Succession Post Fire: Spruce/Fir Group,Succession: Post Fire Recovery,
Succession Post Fire: Tanoak/Laurel Group,Succession: Post Fire Recovery,
Succession Post Fire: Tropical Hardwoods Group,Succession: Post Fire Recovery,
Succession Post Fire: Western Larch Group,Succession: Post Fire Recovery,
Succession Post Fire: Western Oak Group,Succession: Post Fire Recovery,
Succession Post Fire: Western White Pine Group,Succession: Post Fire Recovery,
Succession Post Fire: White/Red/Jack Pine Group,Succession: Post Fire Recovery,
Urbanization: High,Urbanization,
Urbanization: Low,Urbanization,
Urbanization: Medium,Urbanization,
Urbanization: Open,Urbanization,
